short_name,player_positions,overall,potential,age,club_team_id,club_name,league_id,league_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
L. Pandolfi,ST,62,67,25,111993,Cittadella,32,Serie B,27,Italy,Right,3,2,1,Medium/High,66,60,57,62,36,65,12,9,9,14,14,
S. Mokono,RB,62,67,24,100634,Heracles Almelo,10,Eredivisie,34,Netherlands,Right,3,2,1,High/Medium,75,31,49,57,59,68,9,10,13,13,13,
A. Kralj,"LB, LM",62,67,25,708,Hammarby,56,Allsvenskan,46,Sweden,Left,2,3,1,High/Low,71,34,51,65,56,47,8,8,10,5,15,
A. Cantero,"ST, RM, CAM",62,67,25,113044,Barracas Central,353,Liga Profesional,52,Argentina,Right,3,2,1,Medium/Low,63,62,50,61,26,62,10,6,14,11,14,
S. Hawsawi,"LB, RB",62,67,25,113217,Damac,350,Pro League,183,Saudi Arabia,Right,3,2,1,High/High,89,30,47,61,51,78,8,5,6,11,13,
P. Nwadike,CB,62,67,24,113458,Sirius,56,Allsvenskan,46,Sweden,Right,2,2,1,Medium/Medium,56,36,50,55,60,73,13,7,14,9,12,
V. Kongsro,"LWB, CB",62,67,24,1756,HamKam,41,Eliteserien,36,Norway,Left,2,2,1,Medium/Medium,75,41,53,59,55,62,5,11,12,10,9,
N. Pennington,"CDM, CM",62,67,24,111766,Wellington Phoenix,351,A-League,195,Australia,Right,2,2,1,Medium/High,56,51,57,56,59,67,11,9,11,6,11,
Fran Ãlvarez,"CM, LM",62,67,25,301,Widzew Lodz,66,Ekstraklasa,45,Spain,Right,3,3,1,Medium/Medium,59,60,64,62,46,50,12,7,13,8,5,
T. Gayret,"CAM, CM, CF",62,67,24,110482,Hallescher FC,2076,3. Liga,21,Germany,Left,3,3,1,High/Medium,69,56,58,64,41,57,10,11,5,14,8,
F. Bohnert,"LWB, RWB, CB",62,67,25,58,Bastia,17,Ligue 2,31,Luxembourg,Right,3,2,1,Medium/Medium,77,40,54,59,57,63,10,11,6,12,10,
F. Berglie,CB,62,67,26,1757,Sandefjord,41,Eliteserien,36,Norway,Right,3,2,1,Medium/Medium,59,26,40,44,63,65,12,6,15,9,14,
M. VicuÃ±a,"LW, RW, LM",62,67,23,112707,Magallanes,335,Primera Division,55,Chile,Right,3,3,1,High/Medium,73,55,61,64,33,63,8,6,10,7,13,
M. Serrano,CDM,62,67,26,115358,Palmaflor del TrÃ³pico,2017,Liga De Futbol Prof,53,Bolivia,Right,3,2,1,Medium/Medium,53,35,57,54,57,62,7,14,10,10,7,
A. Karamanolis,CB,62,67,21,100135,APOEL,318,1. Division,11,Cyprus,Right,2,2,1,Medium/Medium,62,41,56,45,61,67,14,11,15,15,12,
J. Mause,ST,62,67,24,111239,Ingolstadt,2076,3. Liga,21,Germany,Right,3,2,1,Medium/High,75,61,52,58,45,68,15,6,9,8,10,
T. GÃ¶zÃ¼sirin,CM,62,67,21,1829,VfB LÃ¼beck,2076,3. Liga,48,Turkey,Right,4,2,1,Medium/Medium,70,58,64,66,51,65,8,15,10,12,11,
Jackson Kenio,"LW, LM, CAM",62,67,24,746,Ä°stanbulspor,68,Super Lig,54,Brazil,Right,4,3,1,High/Low,70,66,52,66,31,49,10,8,6,14,11,
M. SÃ¦tra,GK,62,66,26,922,StrÃ¸msgodset,41,Eliteserien,36,Norway,Right,3,1,1,Medium/Medium,,,,,,,62,62,60,61,62,32
J. Talbot,GK,62,66,26,305,Bohemians,65,Premier Division,25,Republic of Ireland,Left,2,1,1,Medium/Medium,,,,,,,62,58,59,59,63,43
M. Foulds,LB,62,66,25,112222,Harrogate Town,61,League Two,14,England,Left,3,2,1,Medium/Medium,69,26,53,57,60,69,7,6,11,15,13,
G. Miller,ST,62,66,25,142,Doncaster Rovers,61,League Two,14,England,Right,3,2,1,High/High,83,61,51,61,37,75,10,9,13,13,13,
R. Ito,"CF, CAM",62,66,25,680,Sint-Truiden,4,Jupiler Pro League,163,Japan,Right,2,3,1,Medium/Medium,81,52,54,66,40,64,12,10,12,12,14,
I. Christie-Davies,"CM, CAM, LM",62,66,25,2013,AS Eupen,4,Jupiler Pro League,50,Wales,Right,3,2,1,Medium/Medium,61,55,61,62,55,70,10,9,5,9,8,
P. Kalambayi,CB,62,66,23,112259,AFC Wimbledon,61,League Two,14,England,Right,2,2,1,Medium/Medium,64,26,41,45,61,74,10,8,10,14,10,
Zhang Yan,GK,62,66,26,116360,Chengdu Rongcheng,2012,Super League,155,China PR,Right,2,1,1,Medium/Medium,,,,,,,63,58,52,59,66,32
O. Hedvall,GK,62,66,24,1516,Midtjylland,1,Superliga,13,Denmark,Left,3,1,1,Medium/Medium,,,,,,,66,60,63,60,64,31
C. Oduor,"RW, LWB, LB",62,66,24,1804,Bradford City,61,League Two,120,Kenya,Left,3,3,1,High/Medium,77,50,57,65,57,58,13,11,13,15,11,
J. Mahon,CB,62,66,23,563,Sligo Rovers,65,Premier Division,25,Republic of Ireland,Right,3,2,1,Low/Medium,58,33,45,50,60,75,9,14,12,5,12,
A. Lewis,"CDM, CM",62,66,23,837,Dundalk,65,Premier Division,14,England,Right,3,3,1,Medium/Medium,61,57,61,65,57,61,12,13,11,11,6,
L. McCormick,"CM, CAM",62,66,24,1962,Bristol Rovers,60,League One,14,England,Right,4,3,1,Medium/Medium,73,56,62,64,54,66,10,6,12,13,6,
W. Smith,CB,62,66,24,112222,Harrogate Town,61,League Two,14,England,Right,3,2,1,Medium/Medium,65,26,40,46,61,72,7,14,11,10,15,
L. Watkowiak,GK,62,66,27,898,St. Gallen,189,Super League,21,Germany,Right,3,1,1,Medium/Medium,,,,,,,60,59,58,64,66,21
Hu Ruibao,"CB, LWB",62,66,26,116360,Chengdu Rongcheng,2012,Super League,155,China PR,Left,2,2,1,Low/Medium,71,30,47,55,61,67,12,11,6,11,8,
M. Corryn,"RW, CAM",62,66,24,111380,Almere City,10,Eredivisie,7,Belgium,Right,3,3,1,Medium/Medium,68,61,62,63,49,64,10,7,5,11,9,
A. Stone,GK,62,66,23,1937,Notts County,61,League Two,14,England,Right,4,1,1,Medium/Medium,,,,,,,61,59,63,63,64,48
L. O'Connor,"CM, CDM",62,66,22,15048,Tranmere Rovers,61,League Two,25,Republic of Ireland,Right,3,2,1,Low/High,70,53,60,64,61,69,12,12,11,8,14,
A. Thapa,"CM, CDM, CAM",62,66,25,113146,ATK Mohun Bagan,2149,Super League,159,India,Right,4,3,1,High/High,66,52,62,65,54,64,9,13,6,14,11,
I. Hutchinson,"CAM, CM",62,66,23,1803,Walsall,61,League Two,14,England,Right,3,3,1,High/Medium,73,60,60,63,54,69,5,10,12,7,11,
U. Godwin-Malife,"CB, RB",62,66,23,1934,Swindon Town,61,League Two,14,England,Right,2,2,1,High/Medium,75,32,52,57,61,69,11,12,14,9,5,
A. Dallas,ST,62,66,23,82,Kilmarnock,50,Premiership,42,Scotland,Right,3,2,1,High/Medium,81,61,46,60,28,60,10,12,9,11,10,
V. Erlien,"ST, LW",62,66,25,418,TromsÃ¸,41,Eliteserien,36,Norway,Right,3,3,1,Medium/Medium,72,61,56,61,31,58,7,6,15,7,14,
M. Mata,ST,62,66,22,127,Shrewsbury Town,60,League One,198,New Zealand,Left,3,2,1,High/Medium,72,61,48,58,24,72,6,14,15,10,9,
G. Granath,CB,62,66,26,113892,Degerfors,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,65,27,51,41,61,66,7,11,14,9,13,
Maciel,"CDM, CM",62,66,23,691,New England,39,Major League Soccer,54,Brazil,Right,3,2,1,Low/High,58,34,53,60,62,57,9,10,9,15,9,
F. DujmoviÄ‡,GK,62,66,24,100757,Dinamo BucureÅŸti,330,Liga 1,8,Bosnia and Herzegovina,Right,2,1,1,Medium/Medium,,,,,,,62,62,66,58,65,36
G. Bitin,ST,62,66,25,131389,Pendikspor,68,Super Lig,48,Turkey,Left,2,2,1,High/Low,52,62,46,57,28,69,13,15,14,6,9,
L. Johnson,"LM, RW, ST",62,66,24,101112,Vancouver Whitecaps,39,Major League Soccer,70,Canada,Right,3,3,1,Medium/Low,73,61,52,64,42,68,11,10,12,14,9,
K. Alikulov,CB,62,66,24,101037,Rizespor,68,Super Lig,191,Uzbekistan,Right,3,2,1,Medium/Medium,63,31,44,47,63,61,12,12,13,12,10,
D. Iliev,GK,62,65,28,100325,HJK,322,Veikkausliiga,19,North Macedonia,Right,3,1,1,Medium/Medium,,,,,,,64,59,60,60,64,44
D. Sommariva,GK,62,65,25,110556,Genoa,31,Serie A,27,Italy,Right,2,1,1,Medium/Medium,,,,,,,64,56,62,59,68,42
A. Breslin,"LB, LWB",62,65,26,423,St Patrick's,65,Premier Division,25,Republic of Ireland,Left,2,2,1,Medium/Medium,72,44,51,56,57,69,12,10,14,15,9,
H. Chapman,"CAM, LM",62,65,25,1804,Bradford City,61,League Two,14,England,Right,3,3,1,High/Low,72,58,61,67,30,60,14,11,13,11,13,
M. Diallo,"RB, LB",62,65,26,324,Servette,189,Super League,18,France,Right,2,2,1,Medium/Medium,66,43,54,61,59,67,13,8,12,14,14,
O. Al Khalaf,"RWB, RM, RB",62,65,26,113057,Al Fayha,350,Pro League,183,Saudi Arabia,Right,3,3,1,Medium/Medium,75,46,59,62,53,68,8,14,9,11,13,
E. Iandolo,"LWB, LB, CM",62,65,25,1935,Colchester United,61,League Two,14,England,Left,3,2,1,High/Medium,72,53,59,60,55,73,9,6,10,14,9,
T. Buhagiar,"RM, ST",62,65,25,111398,Newcastle Jets,351,A-League,195,Australia,Right,4,3,1,High/Medium,91,58,51,61,26,66,7,12,14,13,9,
M. Al Mufarrij,CB,62,65,26,605,Al Hilal,350,Pro League,183,Saudi Arabia,Left,3,2,1,Medium/Medium,62,26,43,50,63,64,12,8,5,14,14,
J. Aitchison,"ST, CAM, RW",62,65,23,143,Exeter City,60,League One,42,Scotland,Right,3,3,1,Medium/Medium,81,61,57,63,25,49,11,10,11,11,12,
L. Molyneux,"RW, RM, LWB",62,65,25,142,Doncaster Rovers,61,League Two,14,England,Left,3,3,1,High/Low,81,58,55,64,40,60,5,10,13,8,11,
D. Hume,"LB, LWB",62,65,24,1790,Portsmouth,60,League One,14,England,Left,3,2,1,High/Medium,82,37,52,62,55,59,11,7,6,7,10,
D. Watts,CM,62,65,26,306,Shamrock Rovers,65,Premier Division,25,Republic of Ireland,Right,3,3,1,Medium/Medium,53,57,62,64,56,56,9,8,13,14,12,
Jardel,"ST, LM, RM",62,65,25,111539,Vizela,308,Liga Portugal,38,Portugal,Right,4,3,1,Medium/Medium,69,63,53,62,28,53,8,6,14,8,9,
T. Warren,"RWB, RB",62,65,24,381,Barrow,61,League Two,14,England,Right,3,2,1,High/Medium,68,31,50,57,59,69,12,14,9,14,10,
D. Pierias,RM,62,65,23,112427,Western Sydney Wanderers,351,A-League,195,Australia,Right,3,2,1,Medium/High,87,40,51,65,50,63,6,10,13,8,14,
B. Njie,"LM, ST",62,65,25,1463,Haugesund,41,Eliteserien,36,Norway,Right,3,3,1,Medium/Medium,87,58,50,65,26,55,8,8,13,12,9,
W. Omsberg,CB,62,65,27,693,Chicago Fire,39,Major League Soccer,95,United States,Right,2,2,1,Low/Medium,39,24,40,34,63,71,7,8,10,9,14,
M. Sangare,"CB, LB, CDM",62,65,24,621,Livingston,50,Premiership,122,Liberia,Left,3,2,1,Medium/Medium,61,49,54,58,57,77,13,12,10,12,5,
Duan Liuyu,"CAM, RM, ST",62,65,24,116361,Wuhan Three Towns,2012,Super League,155,China PR,Right,3,3,1,High/Low,78,54,63,63,40,61,12,14,7,14,9,
M. Boudjemaa,"CM, CDM",62,65,25,101028,Hatayspor,68,Super Lig,97,Algeria,Right,2,2,1,High/High,68,46,59,67,62,68,14,11,10,9,8,
C. Kearns,GK,62,65,25,834,Shelbourne,65,Premier Division,25,Republic of Ireland,Right,1,1,1,Medium/Medium,,,,,,,64,59,61,63,65,30
Miguel MarÃ­,CM,62,65,26,131110,Eldense,54,La Liga 2,45,Spain,Right,3,3,1,Medium/Low,60,51,64,64,50,50,12,14,8,9,11,
M. Shaker,CB,62,65,26,111701,Al Ain,2013,Pro League,190,United Arab Emirates,Right,3,2,1,Medium/High,54,27,39,42,62,70,8,13,7,7,15,
Jeong Min Ki,GK,62,65,27,1477,Jeonbuk Motors,83,K League 1,167,Korea Republic,Right,2,1,1,Medium/Medium,,,,,,,65,58,54,59,70,20
B. Anunga,"CDM, CM",62,65,26,114162,Nashville SC,39,Major League Soccer,103,Cameroon,Right,4,3,1,Medium/Medium,59,40,58,56,56,68,13,9,9,13,14,
N. Al Sharari,"CB, RB",62,65,27,111674,Al Shabab,350,Pro League,183,Saudi Arabia,Right,3,2,1,Low/High,70,25,44,42,61,70,13,6,13,5,13,
E. Mercado,ST,62,65,26,110989,Caracas,2019,Primera Division,52,Argentina,Right,3,2,1,Medium/Medium,69,65,46,62,22,56,5,6,11,8,12,
L. AppÃ©rÃ©,ST,62,65,24,1930,Northampton Town,60,League One,42,Scotland,Right,3,3,1,High/Medium,73,60,58,62,39,74,14,8,14,9,13,
J. Laws,"CB, CDM",62,65,25,322,Grasshopper,189,Super League,195,Australia,Left,2,2,1,Medium/Medium,61,34,52,52,61,70,6,12,7,6,6,
H. Johansson,"RWB, RM",62,65,25,112072,MjÃ¤llby,56,Allsvenskan,46,Sweden,Right,3,2,1,High/Medium,67,54,58,63,52,71,8,8,6,8,11,
F. Higl,ST,62,65,26,110176,Ulm,2076,3. Liga,21,Germany,Left,3,2,1,Medium/Medium,64,59,56,58,27,71,13,7,14,8,13,
S. Baghdadi,ST,62,65,25,111276,Dunkerque,17,Ligue 2,18,France,Right,2,3,1,Medium/Medium,65,61,58,61,22,58,15,5,5,11,13,
B. BekaroÄŸlu,CB,62,65,26,101028,Hatayspor,68,Super Lig,48,Turkey,Right,3,2,1,Low/Medium,55,27,42,44,63,66,7,11,10,9,12,
E. Duca,"CAM, CM",62,65,26,1744,Modena,32,Serie B,27,Italy,Right,3,3,1,Medium/Medium,67,53,58,64,42,59,9,11,14,12,8,
R. Ferhaoui,CM,62,65,26,1814,Laval,17,Ligue 2,18,France,Right,3,2,1,Medium/Low,63,56,63,62,56,61,10,14,12,9,12,
S. Plechaty,RB,62,65,25,526,Rot-Weiss Essen,2076,3. Liga,21,Germany,Right,2,2,1,Medium/Medium,76,56,57,62,56,64,6,7,9,13,8,
E. ErentÃ¼rk,GK,62,65,28,101041,Sivasspor,68,Super Lig,48,Turkey,Right,2,1,1,Medium/Medium,,,,,,,65,61,61,60,65,25
A. ZeljkoviÄ‡,"ST, LM",62,65,25,112126,VÃ¤rnamo,56,Allsvenskan,46,Sweden,Right,3,3,1,Medium/Medium,76,60,55,63,31,61,9,13,8,12,13,
K. Mammar,"CB, LWB",62,65,26,113892,Degerfors,56,Allsvenskan,46,Sweden,Left,4,2,1,Medium/Medium,77,48,50,55,60,70,15,8,14,9,6,
L. Lopez,RM,62,65,25,113044,Barracas Central,353,Liga Profesional,52,Argentina,Left,3,3,1,Medium/Medium,68,50,59,61,59,56,9,13,15,14,10,
G. Silva,CM,62,65,23,110406,ColÃ³n,353,Liga Profesional,52,Argentina,Right,3,2,1,Medium/Medium,67,58,65,64,51,48,5,7,9,5,13,
P. Sikora,CDM,62,65,23,874,Ruch ChorzÃ³w,66,Ekstraklasa,37,Poland,Left,2,2,1,Medium/Medium,70,51,54,55,60,66,8,10,10,13,11,
Z. Hadji,ST,62,65,26,115201,Stade Lausanne-Ouchy,189,Super League,18,France,Right,3,2,1,Medium/Medium,58,63,54,62,20,62,11,6,14,7,11,
L. Hajrulahu,CB,62,65,25,115201,Stade Lausanne-Ouchy,189,Super League,219,Kosovo,Right,3,2,1,Low/Medium,51,29,42,43,60,77,5,13,10,13,10,
V. Hamdiu,CDM,62,65,25,115201,Stade Lausanne-Ouchy,189,Super League,219,Kosovo,Right,3,2,1,Medium/High,65,44,53,63,57,73,11,6,7,7,12,
I. RondiÄ‡,ST,62,65,24,301,Widzew Lodz,66,Ekstraklasa,8,Bosnia and Herzegovina,Left,3,2,1,Medium/Medium,63,62,43,58,28,66,12,6,11,15,6,
A. Farroni,GK,62,65,25,1848,Bari 1908,32,Serie B,27,Italy,Left,3,1,1,Medium/Medium,,,,,,,65,59,55,60,63,45
S. Minelli,GK,62,64,29,112499,FeralpiSalÃ²,32,Serie B,27,Italy,Left,3,1,1,Medium/Medium,,,,,,,62,58,55,62,63,41
G. Sloggett,"CDM, CM",62,64,26,837,Dundalk,65,Premier Division,25,Republic of Ireland,Right,3,2,1,Medium/Medium,38,51,58,57,58,69,7,15,14,13,12,
J. Stevens,GK,62,64,25,1944,Cambridge United,60,League One,14,England,Right,3,1,1,Medium/Medium,,,,,,,62,60,63,60,62,41
K. Green,"CDM, CM",62,64,26,92,Grimsby Town,61,League Two,14,England,Right,3,2,1,Medium/High,62,45,52,57,57,70,10,9,9,8,9,
J. Robson,"LB, LWB",62,64,25,561,Forest Green Rovers,61,League Two,42,Scotland,Left,3,2,1,High/Medium,79,32,54,63,54,61,9,7,10,14,10,
D. Bernard,"RB, CB",62,64,26,561,Forest Green Rovers,61,League Two,25,Republic of Ireland,Right,3,2,1,Medium/High,73,37,50,58,59,70,10,13,10,15,14,
A. Little,"CM, CDM",62,64,26,112259,AFC Wimbledon,61,League Two,14,England,Right,4,3,1,High/Medium,78,61,62,66,51,56,11,11,10,10,13,
E. List,ST,62,64,26,361,Stevenage,60,League One,14,England,Right,3,3,1,High/Medium,92,61,51,64,28,56,9,15,11,7,11,
M. Hauptmeijer,GK,62,64,26,1914,PEC Zwolle,10,Eredivisie,34,Netherlands,Right,2,1,1,Medium/Medium,,,,,,,58,61,61,63,64,34
R. McKenzie,"RB, LB",62,64,24,1802,Gillingham,61,League Two,14,England,Right,2,2,1,High/High,67,47,53,54,60,72,8,8,13,10,11,
R. Tongyik,CB,62,64,26,112427,Western Sydney Wanderers,351,A-League,195,Australia,Right,2,2,1,High/Medium,62,26,39,58,61,75,9,14,7,14,12,
J. Maddox,CM,62,64,24,561,Forest Green Rovers,61,League Two,14,England,Right,3,3,1,High/Medium,71,55,61,66,54,58,9,7,5,11,8,
N. Klinger,GK,62,64,27,175,VfL Wolfsburg,19,Bundesliga,21,Germany,Right,3,1,1,Medium/Medium,,,,,,,59,60,63,60,64,33
D. Leahy,"LB, CB",62,64,25,837,Dundalk,65,Premier Division,25,Republic of Ireland,Left,3,2,1,Medium/High,63,50,57,58,58,66,7,12,6,11,6,
Kang Yoon Seong,"RB, CM, RWB",62,64,26,980,Daejeon Citizen,83,K League 1,167,Korea Republic,Right,5,2,1,High/Medium,63,47,58,57,57,61,15,12,10,10,14,
J. Louchet,GK,62,64,27,110456,Valenciennes,17,Ligue 2,18,France,Right,2,1,1,Medium/Medium,,,,,,,62,64,63,65,61,21
J. Gibbons,RB,62,64,25,1962,Bristol Rovers,60,League One,14,England,Right,4,2,1,High/High,71,43,57,62,58,64,6,11,11,6,8,
Q. Bena,"CB, CDM",62,64,25,100757,Dinamo BucureÅŸti,330,Liga 1,18,France,Right,4,2,1,Medium/Medium,73,49,52,58,59,71,6,15,12,7,14,
N. InsfrÃ¡n,GK,62,64,28,101084,Gimnasia La Plata,353,Liga Profesional,52,Argentina,Right,2,1,1,Medium/Medium,,,,,,,63,59,60,66,59,25
G. Garner,ST,62,64,24,381,Barrow,61,League Two,14,England,Left,2,2,1,Medium/Medium,70,60,48,62,23,66,6,14,11,8,14,
J. Earing,"CDM, CM",62,64,24,1803,Walsall,61,League Two,14,England,Right,4,3,1,Medium/Medium,69,59,62,62,57,66,6,11,8,7,7,
C. Shields,"ST, RM",62,64,25,113297,Chennaiyin,2149,Super League,42,Scotland,Right,3,2,1,Medium/Medium,76,60,56,63,38,63,6,11,7,5,11,
T. White,"CDM, CM",62,64,26,381,Barrow,61,League Two,14,England,Right,3,2,1,Medium/Medium,63,53,58,62,57,65,14,15,9,5,11,
T. Carlsson,CB,62,64,27,113458,Sirius,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,53,26,44,44,63,68,15,10,14,8,10,
S. Al Hajri,"CDM, CB",62,64,27,,,,,182,Qatar,Right,3,2,1,Medium/Medium,58,37,54,55,62,66,12,12,12,9,14,
R. Szywacz,CB,62,64,27,874,Ruch ChorzÃ³w,66,Ekstraklasa,37,Poland,Left,2,2,1,Medium/Medium,60,29,39,41,62,69,12,11,15,14,13,
I. Markov,"CB, LB",62,64,26,110750,UTA Arad,330,Liga 1,9,Bulgaria,Left,2,2,1,Medium/Medium,55,31,42,51,62,70,7,7,10,13,12,
A. Craciun,"CB, RB",62,64,25,114393,Puszcza NiepoÅ‚omice,66,Ekstraklasa,33,Moldova,Right,3,2,1,Medium/Medium,60,41,40,43,62,66,8,6,10,5,6,
D. BlaÅ¾eviÄ‡,GK,62,63,30,708,Hammarby,56,Allsvenskan,46,Sweden,Right,2,1,1,Medium/Medium,,,,,,,63,57,55,60,66,26
H. Zackrisson,CB,62,63,28,113743,Varberg BoIS,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,52,48,52,55,60,71,8,12,15,15,13,
K. Nowak,CB,62,63,29,305,Bohemians,65,Premier Division,37,Poland,Right,3,2,1,Medium/High,54,42,50,51,60,69,6,15,12,9,7,
H. Boateng,CM,62,63,27,1940,Mansfield Town,61,League Two,14,England,Left,3,3,1,High/High,66,50,60,64,60,76,10,16,9,10,12,
C. Camps,"CM, CDM",62,63,27,1931,Stockport County,61,League Two,35,Northern Ireland,Right,3,3,1,High/Medium,67,59,61,64,57,65,11,9,8,16,11,
T. Dallison,"CB, LB",62,63,27,1935,Colchester United,61,League Two,14,England,Left,3,2,1,Medium/Medium,45,26,45,47,60,76,15,14,10,9,7,
J. McGhee,"CDM, CM, CB",62,63,26,180,Dundee,50,Premiership,42,Scotland,Right,3,2,1,Medium/High,54,53,55,58,62,70,10,15,15,15,16,
A. Gilliead,"CM, CDM",62,63,27,1804,Bradford City,61,League Two,14,England,Right,3,3,1,High/Medium,73,55,58,64,56,71,10,7,6,12,9,
J. Coleman,GK,62,63,27,4,Bolton Wanderers,60,League One,14,England,Right,3,1,1,Medium/Medium,,,,,,,62,60,62,62,63,44
J. Gustavsson,"CDM, CM",62,63,28,112072,MjÃ¤llby,56,Allsvenskan,46,Sweden,Right,3,2,1,Medium/Medium,61,47,56,59,58,72,15,15,15,10,13,
U. Saracco,GK,62,63,29,1846,Lecco,32,Serie B,27,Italy,Right,1,1,1,Medium/Medium,,,,,,,63,61,56,62,66,44
F. Okenabirhie,ST,62,63,27,1944,Cambridge United,60,League One,14,England,Right,4,3,1,Medium/Medium,79,60,54,63,32,59,8,12,8,7,13,
W. Nightingale,CB,62,63,27,631,Ross County,50,Premiership,14,England,Right,2,2,1,Medium/Medium,58,33,47,52,61,70,11,10,15,11,16,
L. Kinsella,CM,62,63,27,1934,Swindon Town,61,League Two,25,Republic of Ireland,Right,3,2,1,Medium/High,72,51,58,63,62,77,16,11,15,8,10,
Xu Jiamin,GK,62,63,29,111774,Tianjin Jinmen Tiger,2012,Super League,155,China PR,Right,2,1,1,Medium/Medium,,,,,,,64,62,55,58,64,36
R. Latouchent,"LB, RWB",62,63,27,110072,OÈ›elul GalaÈ›i,330,Liga 1,18,France,Right,4,2,1,Medium/Medium,65,36,51,60,60,56,15,11,8,8,12,
L. McGee,GK,62,63,27,15048,Tranmere Rovers,61,League Two,14,England,Right,3,1,1,Medium/Medium,,,,,,,63,61,62,61,63,37
J. Aspropotamitis,CB,62,63,27,114604,Macarthur,351,A-League,195,Australia,Right,4,2,1,Low/Medium,59,29,47,50,60,74,11,15,14,10,10,
J. Sterry,"RB, RWB",62,63,27,142,Doncaster Rovers,61,League Two,14,England,Right,3,2,1,High/Medium,73,50,56,60,55,73,7,15,8,9,14,
J. DrolÃ¨,"LW, ST",62,63,25,110752,BotoÅŸani,330,Liga 1,108,CÃ´te d'Ivoire,Right,2,3,1,Medium/Medium,78,56,56,64,32,57,8,11,6,8,6,
R. Delaney,CB,62,63,26,112254,Newport County,61,League Two,25,Republic of Ireland,Left,2,2,1,Medium/High,48,28,43,42,61,75,5,5,8,15,14,
C. Borthwick-Jackson,"LB, LWB",62,63,26,111092,ÅšlÄ…sk WrocÅ‚aw,66,Ekstraklasa,14,England,Left,3,2,1,High/Medium,65,45,57,57,58,69,6,11,8,11,9,
A. Al Hajji,"CM, CDM, CAM",62,63,27,112408,Al Wahda,350,Pro League,183,Saudi Arabia,Right,3,2,1,Medium/Low,66,56,60,64,54,61,6,10,11,13,13,
K. Cameron,CB,62,63,26,1937,Notts County,61,League Two,42,Scotland,Left,4,2,1,High/Medium,55,34,46,53,61,71,12,6,6,8,10,
C. MacDonald,"LB, LWB",62,63,25,1940,Mansfield Town,61,League Two,42,Scotland,Left,2,2,1,High/High,72,34,52,57,58,63,8,6,12,9,9,
N. Freeman,"CM, LW",62,63,27,361,Stevenage,60,League One,14,England,Right,3,3,1,High/Medium,71,57,60,64,53,59,8,10,13,14,9,
O. Patrick,"ST, LM",62,63,27,110799,Sutton United,61,League Two,14,England,Right,3,3,1,High/High,84,59,52,62,27,68,12,12,7,7,9,
A. Al Najjar,"RM, LM",62,63,26,113222,Al Hazem,350,Pro League,183,Saudi Arabia,Right,3,3,1,High/Medium,78,53,57,63,44,56,9,6,14,8,8,
D. Reiter,RM,62,63,25,15009,Rheindorf Altach,80,Bundesliga,4,Austria,Right,3,2,1,Medium/Medium,71,59,58,64,28,56,7,10,14,13,11,
M. Lansing,GK,62,63,29,1755,Aalesund,41,Eliteserien,95,United States,Right,3,1,1,Medium/Medium,,,,,,,62,62,61,61,60,38
H. Biggins,CM,62,63,27,142,Doncaster Rovers,61,League Two,14,England,Right,4,2,1,Medium/High,54,56,59,63,58,61,6,11,13,11,9,
N. Samayoa,CB,62,63,27,110815,CSM Politehnica IaÈ™i,330,Liga 1,78,Guatemala,Right,2,2,1,Medium/Medium,55,34,36,40,60,72,10,14,8,13,8,
T. Bradbury,CB,62,63,25,1936,Cheltenham Town,60,League One,14,England,Left,3,2,1,Low/Medium,63,34,45,50,60,73,11,11,7,10,9,
J. Ekeland,"LW, ST",62,63,25,922,StrÃ¸msgodset,41,Eliteserien,36,Norway,Right,3,3,1,Medium/Medium,70,56,56,63,22,57,12,12,9,14,10,
J. Taylor,CM,62,63,24,357,Morecambe,61,League Two,14,England,Right,3,2,1,Medium/Medium,71,58,61,65,55,58,14,11,7,10,15,
A. Johansson,"ST, LW",62,63,27,112072,MjÃ¤llby,56,Allsvenskan,46,Sweden,Left,2,2,1,Medium/Medium,71,59,57,63,50,68,14,5,6,5,11,
G. Galli,"CM, CB, CDM",62,63,27,1846,Lecco,32,Serie B,27,Italy,Left,2,2,1,Medium/Low,64,49,59,62,57,64,15,15,5,9,12,
T. AydoÄŸan,"CM, CAM",62,63,27,101016,Adana Demirspor,68,Super Lig,48,Turkey,Right,3,2,1,Medium/Medium,61,61,64,66,50,59,13,5,13,6,5,
M. HÃ¸yland,"CDM, CM",62,63,27,112199,Sarpsborg 08,41,Eliteserien,36,Norway,Right,3,2,1,Medium/High,52,45,54,55,59,71,7,14,9,10,13,
C. Vindehall,CM,62,63,27,112126,VÃ¤rnamo,56,Allsvenskan,46,Sweden,Right,3,3,1,Medium/Medium,66,44,60,65,55,62,5,15,11,13,11,
L. MacNaughton,CB,62,63,28,114162,Nashville SC,39,Major League Soccer,70,Canada,Right,2,2,1,Medium/High,60,31,39,50,62,69,8,6,14,14,12,
